t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.00000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44951;1.22500;0.00197;0.00000;4.40971;0.00000;-4.40971;-9.81000;0.00000;0.00000;0.00503
0.01000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44951;1.22500;0.00197;0.00000;4.40971;28.22000;23.81029;52.96918;0.52969;0.00530;0.00503
0.02000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44940;1.22500;0.00197;0.00055;4.40859;27.91457;23.50543;52.30426;1.05273;0.01582;0.00503
0.03000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44934;1.22500;0.00197;0.00218;4.40803;27.60914;23.19893;51.62879;1.56902;0.03151;0.00503
0.04000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44928;1.22500;0.00197;0.00485;4.40747;27.30371;22.89139;50.95085;2.07853;0.05230;0.00503
0.05000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44923;1.22500;0.00197;0.00851;4.40691;26.99829;22.58286;50.27052;2.58124;0.07811;0.00503
0.06000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44917;1.22500;0.00197;0.01313;4.40635;26.69286;22.27338;49.58790;3.07712;0.10888;0.00503
0.07000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44911;1.22500;0.00197;0.01866;4.40579;26.38743;21.96298;48.90306;3.56615;0.14454;0.00503
0.08000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44951;1.22500;0.00197;0.02506;4.40971;26.08200;21.64723;48.15717;4.04772;0.18502;0.00503
0.09000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44900;1.22500;0.00197;0.03228;4.40467;25.98633;21.54938;47.99433;4.52766;0.23030;0.00503
0.10000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44894;1.22500;0.00197;0.04039;4.40411;25.89067;21.44616;47.77053;5.00537;0.28035;0.00503
0.11000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44888;1.22500;0.00197;0.04937;4.40355;25.79500;21.34208;47.54474;5.48081;0.33516;0.00503
0.12000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44883;1.22500;0.00197;0.05919;4.40299;25.69933;21.23715;47.31700;5.95398;0.39470;0.00503
0.13000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44877;1.22500;0.00197;0.06985;4.40243;25.60367;21.13138;47.08733;6.42486;0.45895;0.00503
0.14000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44871;1.22500;0.00197;0.08134;4.40187;25.50800;21.02479;46.85577;6.89341;0.52788;0.00503
0.15000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44866;1.22500;0.00197;0.09363;4.40131;25.41233;20.91739;46.62235;7.35964;0.60148;0.00503
0.16000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44860;1.22500;0.00197;0.10673;4.40075;25.31667;20.80919;46.38708;7.82351;0.67971;0.00503
0.17000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44854;1.22500;0.00197;0.12060;4.40019;25.22100;20.70020;46.15001;8.28501;0.76256;0.00503
0.18000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44848;1.22500;0.00197;0.13525;4.39963;25.12533;20.59045;45.91116;8.74412;0.85001;0.00503
0.19000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44843;1.22500;0.00197;0.15066;4.39907;25.02967;20.47994;45.67056;9.20083;0.94201;0.00503
0.20000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44837;1.22500;0.00197;0.16681;4.39851;24.93400;20.36868;45.42824;9.65511;1.03856;0.00503
0.21000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44831;1.22500;0.00197;0.18368;4.39795;24.74055;20.15891;44.96611;10.10477;1.13961;0.00503
0.22000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44826;1.22500;0.00197;0.20119;4.39739;24.54709;19.94851;44.50246;10.54979;1.24511;0.00503
0.23000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44820;1.22500;0.00197;0.21930;4.39683;24.35364;19.73750;44.03734;10.99017;1.35501;0.00503
0.24000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44814;1.22500;0.00197;0.23799;4.39627;24.16018;19.52591;43.57081;11.42588;1.46927;0.00503
0.25000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44809;1.22500;0.00197;0.25724;4.39571;23.96673;19.31378;43.10293;11.85690;1.58784;0.00503
0.26000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44803;1.22500;0.00197;0.27701;4.39515;23.77327;19.10111;42.63374;12.28324;1.71067;0.00503
0.27000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44797;1.22500;0.00197;0.29729;4.39459;23.57982;18.88793;42.16331;12.70488;1.83772;0.00503
0.28000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44791;1.22500;0.00197;0.31805;4.39403;23.38636;18.67428;41.69168;13.12179;1.96894;0.00503
0.29000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44786;1.22500;0.00197;0.33927;4.39347;23.19291;18.46017;41.21892;13.53398;2.10428;0.00503
0.30000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44780;1.22500;0.00197;0.36092;4.39291;22.99945;18.24562;40.74507;13.94143;2.24369;0.00503
0.31000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44774;1.22500;0.00197;0.38297;4.39235;22.80600;18.03067;40.27018;14.34413;2.38713;0.00503
0.32000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44769;1.22500;0.00197;0.40542;4.39179;22.63113;17.83392;39.83583;14.74249;2.53456;0.00503
0.33000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44763;1.22500;0.00197;0.42825;4.39123;22.45627;17.63678;39.40050;15.13650;2.68592;0.00503
0.34000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44757;1.22500;0.00197;0.45145;4.39067;22.28140;17.43928;38.96425;15.52614;2.84119;0.00503
0.35000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44751;1.22500;0.00197;0.47499;4.39011;22.10653;17.24143;38.52712;15.91141;3.00030;0.00503
0.36000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44746;1.22500;0.00197;0.49885;4.38955;21.93167;17.04326;38.08915;16.29230;3.16322;0.00503
0.37000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44740;1.22500;0.00197;0.52302;4.38899;21.75680;16.84478;37.65039;16.66881;3.32991;0.00503
0.38000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44734;1.22500;0.00197;0.54748;4.38843;21.58193;16.64602;37.21088;17.04091;3.50032;0.00503
0.39000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44729;1.22500;0.00197;0.57219;4.38787;21.40707;16.44700;36.77067;17.40862;3.67441;0.00503
0.40000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44723;1.22500;0.00197;0.59715;4.38731;21.23220;16.24773;36.32981;17.77192;3.85213;0.00503
0.41000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44717;1.22500;0.00197;0.62233;4.38675;21.05733;16.04824;35.88833;18.13080;4.03343;0.00503
0.42000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44711;1.22500;0.00197;0.64772;4.38619;20.88247;15.84855;35.44628;18.48527;4.21829;0.00503
0.43000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44706;1.22500;0.00197;0.67330;4.38563;20.70760;15.64867;35.00370;18.83530;4.40664;0.00503
0.44000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44700;1.22500;0.00197;0.69904;4.38507;20.53273;15.44862;34.56064;19.18091;4.59845;0.00503
0.45000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44694;1.22500;0.00197;0.72493;4.38451;20.35787;15.24843;34.11713;19.52208;4.79367;0.00503
