t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.00000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44415;1.22500;0.00197;0.00000;4.35707;38.00000;33.64293;75.74747;0.75747;0.00757;0.00503
0.01000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44402;1.22500;0.00197;0.00113;4.35586;38.00000;33.64301;75.76872;1.51516;0.02273;0.00503
0.02000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44390;1.22500;0.00197;0.00452;4.35465;38.00000;33.64083;75.78490;2.27301;0.04546;0.00503
0.03000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44378;1.22500;0.00197;0.01018;4.35344;38.00000;33.63638;75.79597;3.03097;0.07577;0.00503
0.04000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44365;1.22500;0.00197;0.01810;4.35222;38.00000;33.62967;75.80196;3.78899;0.11366;0.00503
0.05000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44353;1.22500;0.00197;0.02829;4.35101;38.00000;33.62070;75.80283;4.54702;0.15913;0.00503
0.06000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44340;1.22500;0.00197;0.04074;4.34980;38.00000;33.60946;75.79860;5.30500;0.21218;0.00503
0.07000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44328;1.22500;0.00197;0.05545;4.34859;38.00000;33.59596;75.78927;6.06290;0.27281;0.00503
0.08000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44316;1.22500;0.00197;0.07243;4.34738;38.00000;33.58019;75.77482;6.82065;0.34101;0.00503
0.09000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44303;1.22500;0.00197;0.09167;4.34617;38.00000;33.56217;75.75526;7.57820;0.41679;0.00503
0.10000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44291;1.22500;0.00197;0.11316;4.34495;38.00000;33.54189;75.73060;8.33550;0.50015;0.00503
0.11000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44279;1.22500;0.00197;0.13691;4.34374;38.00000;33.51935;75.70084;9.09251;0.59107;0.00503
0.12000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44266;1.22500;0.00197;0.16290;4.34253;38.00000;33.49457;75.66597;9.84917;0.68957;0.00503
0.13000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44254;1.22500;0.00197;0.19114;4.34132;38.00000;33.46754;75.62602;10.60543;0.79562;0.00503
0.14000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44242;1.22500;0.00197;0.22162;4.34011;38.00000;33.43827;75.58098;11.36124;0.90923;0.00503
0.15000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44229;1.22500;0.00197;0.25434;4.33889;38.00000;33.40677;75.53086;12.11655;1.03040;0.00503
0.16000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44217;1.22500;0.00197;0.28928;4.33768;38.00000;33.37304;75.47568;12.87131;1.15911;0.00503
0.17000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44205;1.22500;0.00197;0.32644;4.33647;38.00000;33.33709;75.41545;13.62546;1.29537;0.00503
0.18000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44192;1.22500;0.00197;0.36581;4.33526;38.00000;33.29893;75.35018;14.37896;1.43916;0.00503
0.19000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44180;1.22500;0.00197;0.40739;4.33405;38.00000;33.25856;75.27987;15.13176;1.59047;0.00503
0.20000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44168;1.22500;0.00197;0.45116;4.33283;38.00000;33.21600;75.20456;15.88381;1.74931;0.00503
0.21000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44155;1.22500;0.00197;0.49712;4.33162;38.00000;33.17125;75.12426;16.63505;1.91566;0.00503
0.22000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44143;1.22500;0.00197;0.54526;4.33041;38.00000;33.12433;75.03898;17.38544;2.08952;0.00503
0.23000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44130;1.22500;0.00197;0.59556;4.32920;38.00000;33.07524;74.94875;18.13493;2.27087;0.00503
0.24000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44118;1.22500;0.00197;0.64802;4.32799;38.00000;33.02399;74.85358;18.88346;2.45970;0.00503
0.25000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44106;1.22500;0.00197;0.70262;4.32678;38.00000;32.97061;74.75350;19.63100;2.65601;0.00503
0.26000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44093;1.22500;0.00197;0.75935;4.32556;38.00000;32.91509;74.64854;20.37748;2.85978;0.00503
0.27000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44081;1.22500;0.00197;0.81819;4.32435;38.00000;32.85745;74.53871;21.12287;3.07101;0.00503
0.28000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44069;1.22500;0.00197;0.87915;4.32314;38.00000;32.79771;74.42404;21.86711;3.28968;0.00503
0.29000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44056;1.22500;0.00197;0.94219;4.32193;38.00000;32.73588;74.30456;22.61016;3.51579;0.00503
0.30000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44044;1.22500;0.00197;1.00731;4.32072;38.00000;32.67197;74.18030;23.35196;3.74931;0.00503
0.31000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44032;1.22500;0.00197;1.07449;4.31950;38.00000;32.60601;74.05129;24.09247;3.99023;0.00503
0.32000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44019;1.22500;0.00197;1.14372;4.31829;38.00000;32.53799;73.91756;24.83165;4.23855;0.00503
0.33000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44007;1.22500;0.00197;1.21497;4.31708;38.00000;32.46795;73.77914;25.56944;4.49424;0.00503
0.34000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43995;1.22500;0.00197;1.28824;4.31587;38.00000;32.39589;73.63607;26.30580;4.75730;0.00503
0.35000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43982;1.22500;0.00197;1.36351;4.31466;38.00000;32.32183;73.48837;27.04068;5.02771;0.00503
0.36000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43970;1.22500;0.00197;1.44076;4.31345;38.00000;32.24580;73.33609;27.77405;5.30545;0.00503
0.37000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43958;1.22500;0.00197;1.51997;4.31223;38.00000;32.16780;73.17927;28.50584;5.59050;0.00503
0.38000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43945;1.22500;0.00197;1.60112;4.31102;38.00000;32.08786;73.01793;29.23602;5.88287;0.00503
0.39000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43933;1.22500;0.00197;1.68419;4.30981;38.00000;32.00600;72.85212;29.96454;6.18251;0.00503
0.40000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43920;1.22500;0.00197;1.76917;4.30860;38.00000;31.92223;72.68188;30.69136;6.48942;0.00503
0.41000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43908;1.22500;0.00197;1.85604;4.30739;38.00000;31.83657;72.50725;31.41643;6.80359;0.00503
0.42000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43896;1.22500;0.00197;1.94477;4.30617;38.00000;31.74905;72.32827;32.13971;7.12499;0.00503
0.43000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43883;1.22500;0.00197;2.03535;4.30496;38.00000;31.65969;72.14499;32.86116;7.45360;0.00503
0.44000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43871;1.22500;0.00197;2.12775;4.30375;38.00000;31.56850;71.95745;33.58074;7.78940;0.00503
0.45000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43859;1.22500;0.00197;2.22196;4.30254;38.00000;31.47550;71.76568;34.29839;8.13239;0.00503
